,country,year,sex,age,suicides_no,population,suicides_per_100k_pop,gdp_per_capita_usd,generation,country_code_name,continent,sub_region,demo_group
1983,Austria,2001,male,15-24 years,101,488478,20.68,25848,Millenials,AUT,Europe,Western Europe,male : 15-24 years
1984,Austria,2001,female,55-74 years,129,835836,15.43,25848,Silent,AUT,Europe,Western Europe,female : 55-74 years
1985,Austria,2001,female,35-54 years,126,1177652,10.7,25848,Boomers,AUT,Europe,Western Europe,female : 35-54 years
1986,Austria,2001,female,25-34 years,41,600540,6.83,25848,Generation X,AUT,Europe,Western Europe,female : 25-34 years
1987,Austria,2001,female,15-24 years,18,470456,3.83,25848,Millenials,AUT,Europe,Western Europe,female : 15-24 years
1988,Austria,2001,female,05-14 years,1,460720,0.22,25848,Millenials,AUT,Europe,Western Europe,female : 05-14 years
1989,Austria,2001,male,05-14 years,1,484025,0.21,25848,Millenials,AUT,Europe,Western Europe,male : 05-14 years
1990,Austria,2002,male,75+ years,187,187295,99.84,27772,Silent,AUT,Europe,Western Europe,male : 75+ years
1991,Austria,2002,male,55-74 years,322,747406,43.08,27772,Silent,AUT,Europe,Western Europe,male : 55-74 years
1992,Austria,2002,male,35-54 years,422,1214866,34.74,27772,Boomers,AUT,Europe,Western Europe,male : 35-54 years
1993,Austria,2002,male,25-34 years,158,586771,26.93,27772,Generation X,AUT,Europe,Western Europe,male : 25-34 years
1994,Austria,2002,male,15-24 years,99,494122,20.04,27772,Millenials,AUT,Europe,Western Europe,male : 15-24 years
1995,Austria,2002,female,75+ years,80,410636,19.48,27772,Silent,AUT,Europe,Western Europe,female : 75+ years
1996,Austria,2002,female,55-74 years,105,841432,12.48,27772,Silent,AUT,Europe,Western Europe,female : 55-74 years
1997,Austria,2002,female,35-54 years,129,1197653,10.77,27772,Boomers,AUT,Europe,Western Europe,female : 35-54 years
1998,Austria,2002,female,25-34 years,30,583877,5.14,27772,Generation X,AUT,Europe,Western Europe,female : 25-34 years
1999,Austria,2002,female,15-24 years,17,475095,3.58,27772,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2000,Austria,2002,female,05-14 years,2,460277,0.43,27772,Millenials,AUT,Europe,Western Europe,female : 05-14 years
2001,Austria,2002,male,05-14 years,2,483732,0.41,27772,Millenials,AUT,Europe,Western Europe,male : 05-14 years
2002,Austria,2003,male,75+ years,177,193846,91.31,33889,Silent,AUT,Europe,Western Europe,male : 75+ years
2003,Austria,2003,male,55-74 years,308,759680,40.54,33889,Silent,AUT,Europe,Western Europe,male : 55-74 years
2004,Austria,2003,male,35-54 years,371,1231545,30.12,33889,Boomers,AUT,Europe,Western Europe,male : 35-54 years
2005,Austria,2003,male,25-34 years,118,569434,20.72,33889,Generation X,AUT,Europe,Western Europe,male : 25-34 years
2006,Austria,2003,female,75+ years,84,412619,20.36,33889,Silent,AUT,Europe,Western Europe,female : 75+ years
2007,Austria,2003,male,15-24 years,91,501938,18.13,33889,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2008,Austria,2003,female,55-74 years,102,851030,11.99,33889,Silent,AUT,Europe,Western Europe,female : 55-74 years
2009,Austria,2003,female,35-54 years,141,1213566,11.62,33889,Boomers,AUT,Europe,Western Europe,female : 35-54 years
2010,Austria,2003,female,15-24 years,29,482866,6.01,33889,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2011,Austria,2003,female,25-34 years,32,567665,5.64,33889,Generation X,AUT,Europe,Western Europe,female : 25-34 years
2012,Austria,2003,male,05-14 years,3,480502,0.62,33889,Millenials,AUT,Europe,Western Europe,male : 05-14 years
2014,Austria,2004,male,75+ years,189,201792,93.66,38711,Silent,AUT,Europe,Western Europe,male : 75+ years
2015,Austria,2004,male,55-74 years,308,771847,39.9,38711,Silent,AUT,Europe,Western Europe,male : 55-74 years
2016,Austria,2004,male,35-54 years,347,1248808,27.79,38711,Boomers,AUT,Europe,Western Europe,male : 35-54 years
2017,Austria,2004,male,15-24 years,110,509514,21.59,38711,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2018,Austria,2004,male,25-34 years,120,555892,21.59,38711,Generation X,AUT,Europe,Western Europe,male : 25-34 years
2019,Austria,2004,female,75+ years,73,416777,17.52,38711,Silent,AUT,Europe,Western Europe,female : 75+ years
2020,Austria,2004,female,55-74 years,118,860913,13.71,38711,Silent,AUT,Europe,Western Europe,female : 55-74 years
2021,Austria,2004,female,35-54 years,107,1231774,8.69,38711,Boomers,AUT,Europe,Western Europe,female : 35-54 years
2022,Austria,2004,female,25-34 years,26,554568,4.69,38711,Generation X,AUT,Europe,Western Europe,female : 25-34 years
2023,Austria,2004,female,15-24 years,22,491309,4.48,38711,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2024,Austria,2004,male,05-14 years,2,476337,0.42,38711,Millenials,AUT,Europe,Western Europe,male : 05-14 years
2026,Austria,2005,male,75+ years,166,210054,79.03,40367,Silent,AUT,Europe,Western Europe,male : 75+ years
2027,Austria,2005,male,55-74 years,331,782050,42.32,40367,Silent,AUT,Europe,Western Europe,male : 55-74 years
2028,Austria,2005,male,35-54 years,364,1266464,28.74,40367,Boomers,AUT,Europe,Western Europe,male : 35-54 years
2029,Austria,2005,female,75+ years,81,421281,19.23,40367,Silent,AUT,Europe,Western Europe,female : 75+ years
2030,Austria,2005,male,25-34 years,102,548943,18.58,40367,Generation X,AUT,Europe,Western Europe,male : 25-34 years
2031,Austria,2005,male,15-24 years,83,515674,16.1,40367,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2032,Austria,2005,female,55-74 years,96,869065,11.05,40367,Silent,AUT,Europe,Western Europe,female : 55-74 years
2033,Austria,2005,female,35-54 years,121,1250028,9.68,40367,Boomers,AUT,Europe,Western Europe,female : 35-54 years
2034,Austria,2005,female,25-34 years,33,546238,6.04,40367,Generation X,AUT,Europe,Western Europe,female : 25-34 years
2035,Austria,2005,female,15-24 years,18,497688,3.62,40367,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2036,Austria,2005,male,05-14 years,3,471447,0.64,40367,Millenials,AUT,Europe,Western Europe,male : 05-14 years
2037,Austria,2005,female,05-14 years,1,448529,0.22,40367,Millenials,AUT,Europe,Western Europe,female : 05-14 years
2038,Austria,2006,male,75+ years,171,218168,78.38,42698,Silent,AUT,Europe,Western Europe,male : 75+ years
2039,Austria,2006,male,55-74 years,266,791509,33.61,42698,Silent,AUT,Europe,Western Europe,male : 55-74 years
2040,Austria,2006,male,35-54 years,382,1281251,29.81,42698,Boomers,AUT,Europe,Western Europe,male : 35-54 years
2041,Austria,2006,female,75+ years,81,425747,19.03,42698,Silent,AUT,Europe,Western Europe,female : 75+ years
2042,Austria,2006,male,25-34 years,103,545467,18.88,42698,Generation X,AUT,Europe,Western Europe,male : 25-34 years
2043,Austria,2006,male,15-24 years,77,517546,14.88,42698,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2044,Austria,2006,female,55-74 years,91,876832,10.38,42698,Silent,AUT,Europe,Western Europe,female : 55-74 years
2045,Austria,2006,female,35-54 years,91,1265873,7.19,42698,Boomers,AUT,Europe,Western Europe,female : 35-54 years
2046,Austria,2006,female,25-34 years,18,542011,3.32,42698,Generation X,AUT,Europe,Western Europe,female : 25-34 years
2047,Austria,2006,female,15-24 years,16,499388,3.2,42698,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2048,Austria,2006,male,05-14 years,1,464213,0.22,42698,Millenials,AUT,Europe,Western Europe,male : 05-14 years
2050,Austria,2007,male,75+ years,170,225285,75.46,49218,Silent,AUT,Europe,Western Europe,male : 75+ years
2051,Austria,2007,male,55-74 years,273,800509,34.1,49218,Silent,AUT,Europe,Western Europe,male : 55-74 years
2052,Austria,2007,male,35-54 years,331,1291260,25.63,49218,Boomers,AUT,Europe,Western Europe,male : 35-54 years
2053,Austria,2007,female,75+ years,80,428921,18.65,49218,Silent,AUT,Europe,Western Europe,female : 75+ years
2054,Austria,2007,male,25-34 years,99,542760,18.24,49218,Generation X,AUT,Europe,Western Europe,male : 25-34 years
2055,Austria,2007,male,15-24 years,93,517817,17.96,49218,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2056,Austria,2007,female,55-74 years,109,885212,12.31,49218,Silent,AUT,Europe,Western Europe,female : 55-74 years
2057,Austria,2007,female,35-54 years,88,1277479,6.89,49218,Boomers,AUT,Europe,Western Europe,female : 35-54 years
2058,Austria,2007,female,25-34 years,25,539763,4.63,49218,Generation X,AUT,Europe,Western Europe,female : 25-34 years
2059,Austria,2007,female,15-24 years,15,499804,3.0,49218,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2060,Austria,2007,male,05-14 years,2,455269,0.44,49218,Generation Z,AUT,Europe,Western Europe,male : 05-14 years
2062,Austria,2008,male,75+ years,200,231083,86.55,54294,Silent,AUT,Europe,Western Europe,male : 75+ years
2063,Austria,2008,male,55-74 years,276,811538,34.01,54294,Silent,AUT,Europe,Western Europe,male : 55-74 years
2064,Austria,2008,male,35-54 years,340,1295943,26.24,54294,Boomers,AUT,Europe,Western Europe,male : 35-54 years
2065,Austria,2008,female,75+ years,72,430534,16.72,54294,Silent,AUT,Europe,Western Europe,female : 75+ years
2066,Austria,2008,male,25-34 years,86,542606,15.85,54294,Generation X,AUT,Europe,Western Europe,male : 25-34 years
2067,Austria,2008,male,15-24 years,59,519137,11.37,54294,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2068,Austria,2008,female,55-74 years,82,895882,9.15,54294,Silent,AUT,Europe,Western Europe,female : 55-74 years
2069,Austria,2008,female,35-54 years,112,1285210,8.71,54294,Boomers,AUT,Europe,Western Europe,female : 35-54 years
2070,Austria,2008,female,15-24 years,18,500763,3.59,54294,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2071,Austria,2008,female,25-34 years,18,539635,3.34,54294,Generation X,AUT,Europe,Western Europe,female : 25-34 years
2072,Austria,2008,female,05-14 years,2,425776,0.47,54294,Generation Z,AUT,Europe,Western Europe,female : 05-14 years
2073,Austria,2008,male,05-14 years,2,447151,0.45,54294,Generation Z,AUT,Europe,Western Europe,male : 05-14 years
2074,Austria,2009,male,75+ years,187,235822,79.3,50356,Silent,AUT,Europe,Western Europe,male : 75+ years
2075,Austria,2009,male,55-74 years,279,823727,33.87,50356,Silent,AUT,Europe,Western Europe,male : 55-74 years
2076,Austria,2009,male,35-54 years,332,1297322,25.59,50356,Boomers,AUT,Europe,Western Europe,male : 35-54 years
2077,Austria,2009,male,25-34 years,99,542799,18.24,50356,Generation X,AUT,Europe,Western Europe,male : 25-34 years
2078,Austria,2009,female,75+ years,68,430726,15.79,50356,Silent,AUT,Europe,Western Europe,female : 75+ years
2079,Austria,2009,male,15-24 years,72,519901,13.85,50356,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2080,Austria,2009,female,55-74 years,103,908213,11.34,50356,Silent,AUT,Europe,Western Europe,female : 55-74 years
2081,Austria,2009,female,35-54 years,101,1289816,7.83,50356,Boomers,AUT,Europe,Western Europe,female : 35-54 years
2082,Austria,2009,female,25-34 years,18,539304,3.34,50356,Generation X,AUT,Europe,Western Europe,female : 25-34 years
2083,Austria,2009,female,15-24 years,11,501225,2.19,50356,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2084,Austria,2009,female,05-14 years,5,418410,1.2,50356,Generation Z,AUT,Europe,Western Europe,female : 05-14 years
2085,Austria,2009,male,05-14 years,3,439629,0.68,50356,Generation Z,AUT,Europe,Western Europe,male : 05-14 years
2086,Austria,2010,male,75+ years,180,240431,74.87,49181,Silent,AUT,Europe,Western Europe,male : 75+ years
2087,Austria,2010,male,55-74 years,287,838208,34.24,49181,Silent,AUT,Europe,Western Europe,male : 55-74 years
2088,Austria,2010,male,35-54 years,325,1296607,25.07,49181,Generation X,AUT,Europe,Western Europe,male : 35-54 years
2089,Austria,2010,male,15-24 years,91,518657,17.55,49181,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2090,Austria,2010,male,25-34 years,85,542986,15.65,49181,Generation X,AUT,Europe,Western Europe,male : 25-34 years
2091,Austria,2010,female,75+ years,62,431151,14.38,49181,Silent,AUT,Europe,Western Europe,female : 75+ years
2092,Austria,2010,female,55-74 years,90,923411,9.75,49181,Silent,AUT,Europe,Western Europe,female : 55-74 years
2093,Austria,2010,female,35-54 years,102,1291400,7.9,49181,Generation X,AUT,Europe,Western Europe,female : 35-54 years
2094,Austria,2010,female,25-34 years,25,539299,4.64,49181,Generation X,AUT,Europe,Western Europe,female : 25-34 years
2095,Austria,2010,female,15-24 years,14,499638,2.8,49181,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2096,Austria,2010,male,05-14 years,2,433795,0.46,49181,Generation Z,AUT,Europe,Western Europe,male : 05-14 years
2097,Austria,2010,female,05-14 years,1,412838,0.24,49181,Generation Z,AUT,Europe,Western Europe,female : 05-14 years
2098,Austria,2011,male,75+ years,196,245207,79.93,53923,Silent,AUT,Europe,Western Europe,male : 75+ years
2099,Austria,2011,male,55-74 years,276,855700,32.25,53923,Boomers,AUT,Europe,Western Europe,male : 55-74 years
2100,Austria,2011,male,35-54 years,336,1292255,26.0,53923,Generation X,AUT,Europe,Western Europe,male : 35-54 years
2101,Austria,2011,male,25-34 years,97,546027,17.76,53923,Millenials,AUT,Europe,Western Europe,male : 25-34 years
2102,Austria,2011,female,75+ years,58,431128,13.45,53923,Silent,AUT,Europe,Western Europe,female : 75+ years
2103,Austria,2011,male,15-24 years,67,518095,12.93,53923,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2104,Austria,2011,female,55-74 years,113,942311,11.99,53923,Boomers,AUT,Europe,Western Europe,female : 55-74 years
2105,Austria,2011,female,35-54 years,95,1288452,7.37,53923,Generation X,AUT,Europe,Western Europe,female : 35-54 years
2106,Austria,2011,female,15-24 years,23,498172,4.62,53923,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2107,Austria,2011,female,25-34 years,23,542031,4.24,53923,Millenials,AUT,Europe,Western Europe,female : 25-34 years
2108,Austria,2011,male,05-14 years,3,428198,0.7,53923,Generation Z,AUT,Europe,Western Europe,male : 05-14 years
2109,Austria,2011,female,05-14 years,1,407570,0.25,53923,Generation Z,AUT,Europe,Western Europe,female : 05-14 years
2110,Austria,2012,male,75+ years,189,250032,75.59,50979,Silent,AUT,Europe,Western Europe,male : 75+ years
2111,Austria,2012,male,55-74 years,298,874391,34.08,50979,Boomers,AUT,Europe,Western Europe,male : 55-74 years
2112,Austria,2012,male,35-54 years,332,1286522,25.81,50979,Generation X,AUT,Europe,Western Europe,male : 35-54 years
2113,Austria,2012,male,25-34 years,99,553047,17.9,50979,Millenials,AUT,Europe,Western Europe,male : 25-34 years
2114,Austria,2012,female,75+ years,76,430436,17.66,50979,Silent,AUT,Europe,Western Europe,female : 75+ years
2115,Austria,2012,male,15-24 years,66,519503,12.7,50979,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2116,Austria,2012,female,55-74 years,99,962372,10.29,50979,Boomers,AUT,Europe,Western Europe,female : 55-74 years
2117,Austria,2012,female,35-54 years,87,1283769,6.78,50979,Generation X,AUT,Europe,Western Europe,female : 35-54 years
2118,Austria,2012,female,25-34 years,20,547787,3.65,50979,Millenials,AUT,Europe,Western Europe,female : 25-34 years
2119,Austria,2012,female,15-24 years,6,497838,1.21,50979,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2120,Austria,2012,male,05-14 years,3,422849,0.71,50979,Generation Z,AUT,Europe,Western Europe,male : 05-14 years
2121,Austria,2012,female,05-14 years,1,402730,0.25,50979,Generation Z,AUT,Europe,Western Europe,female : 05-14 years
2122,Austria,2013,male,75+ years,221,255540,86.48,53229,Silent,AUT,Europe,Western Europe,male : 75+ years
2123,Austria,2013,male,55-74 years,299,893602,33.46,53229,Boomers,AUT,Europe,Western Europe,male : 55-74 years
2124,Austria,2013,male,35-54 years,317,1282009,24.73,53229,Generation X,AUT,Europe,Western Europe,male : 35-54 years
2125,Austria,2013,female,75+ years,64,431074,14.85,53229,Silent,AUT,Europe,Western Europe,female : 75+ years
2126,Austria,2013,male,25-34 years,75,563630,13.31,53229,Millenials,AUT,Europe,Western Europe,male : 25-34 years
2127,Austria,2013,female,55-74 years,118,981829,12.02,53229,Boomers,AUT,Europe,Western Europe,female : 55-74 years
2128,Austria,2013,male,15-24 years,54,518852,10.41,53229,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2129,Austria,2013,female,35-54 years,94,1279480,7.35,53229,Generation X,AUT,Europe,Western Europe,female : 35-54 years
2130,Austria,2013,female,25-34 years,25,556475,4.49,53229,Millenials,AUT,Europe,Western Europe,female : 25-34 years
2131,Austria,2013,female,15-24 years,20,496526,4.03,53229,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2132,Austria,2013,female,05-14 years,3,400256,0.75,53229,Generation Z,AUT,Europe,Western Europe,female : 05-14 years
2133,Austria,2013,male,05-14 years,1,420342,0.24,53229,Generation Z,AUT,Europe,Western Europe,male : 05-14 years
2134,Austria,2014,male,75+ years,206,269625,76.4,54278,Silent,AUT,Europe,Western Europe,male : 75+ years
2135,Austria,2014,male,55-74 years,282,906857,31.1,54278,Boomers,AUT,Europe,Western Europe,male : 55-74 years
2136,Austria,2014,male,35-54 years,321,1280204,25.07,54278,Generation X,AUT,Europe,Western Europe,male : 35-54 years
2137,Austria,2014,female,75+ years,77,442472,17.4,54278,Silent,AUT,Europe,Western Europe,female : 75+ years
2138,Austria,2014,male,25-34 years,100,576126,17.36,54278,Millenials,AUT,Europe,Western Europe,male : 25-34 years
2139,Austria,2014,male,15-24 years,79,516580,15.29,54278,Millenials,AUT,Europe,Western Europe,male : 15-24 years
2140,Austria,2014,female,55-74 years,108,993973,10.87,54278,Boomers,AUT,Europe,Western Europe,female : 55-74 years
2141,Austria,2014,female,35-54 years,93,1276047,7.29,54278,Generation X,AUT,Europe,Western Europe,female : 35-54 years
2142,Austria,2014,female,25-34 years,29,566622,5.12,54278,Millenials,AUT,Europe,Western Europe,female : 25-34 years
2143,Austria,2014,female,15-24 years,17,493605,3.44,54278,Millenials,AUT,Europe,Western Europe,female : 15-24 years
2144,Austria,2014,male,05-14 years,2,419646,0.48,54278,Generation Z,AUT,Europe,Western Europe,male : 05-14 years
2168,Azerbaijan,1990,male,35-54 years,41,587300,6.98,1439,Silent,AZE,Asia,Western Asia,male : 35-54 years
2169,Azerbaijan,1990,male,55-74 years,11,306200,3.59,1439,G.I. Generation,AZE,Asia,Western Asia,male : 55-74 years
2170,Azerbaijan,1990,male,25-34 years,19,613200,3.1,1439,Boomers,AZE,Asia,Western Asia,male : 25-34 years
2171,Azerbaijan,1990,male,15-24 years,16,682700,2.34,1439,Generation X,AZE,Asia,Western Asia,male : 15-24 years
2172,Azerbaijan,1990,male,75+ years,1,42900,2.33,1439,G.I. Generation,AZE,Asia,Western Asia,male : 75+ years
2173,Azerbaijan,1990,female,75+ years,2,99200,2.02,1439,G.I. Generation,AZE,Asia,Western Asia,female : 75+ years
2174,Azerbaijan,1990,female,55-74 years,6,389200,1.54,1439,G.I. Generation,AZE,Asia,Western Asia,female : 55-74 years
2175,Azerbaijan,1990,female,25-34 years,7,677800,1.03,1439,Boomers,AZE,Asia,Western Asia,female : 25-34 years
2176,Azerbaijan,1990,female,35-54 years,6,637700,0.94,1439,Silent,AZE,Asia,Western Asia,female : 35-54 years
2177,Azerbaijan,1990,female,15-24 years,4,656800,0.61,1439,Generation X,AZE,Asia,Western Asia,female : 15-24 years
2178,Azerbaijan,1990,male,05-14 years,1,750400,0.13,1439,Generation X,AZE,Asia,Western Asia,male : 05-14 years
2180,Azerbaijan,1991,male,75+ years,3,42200,7.11,1398,G.I. Generation,AZE,Asia,Western Asia,male : 75+ years
2181,Azerbaijan,1991,male,55-74 years,22,323700,6.8,1398,Silent,AZE,Asia,Western Asia,male : 55-74 years
2182,Azerbaijan,1991,male,25-34 years,29,627800,4.62,1398,Boomers,AZE,Asia,Western Asia,male : 25-34 years
2183,Azerbaijan,1991,male,35-54 years,26,597700,4.35,1398,Boomers,AZE,Asia,Western Asia,male : 35-54 years
2184,Azerbaijan,1991,male,15-24 years,22,687100,3.2,1398,Generation X,AZE,Asia,Western Asia,male : 15-24 years
2185,Azerbaijan,1991,female,35-54 years,11,650100,1.69,1398,Boomers,AZE,Asia,Western Asia,female : 35-54 years
2186,Azerbaijan,1991,female,55-74 years,5,406400,1.23,1398,Silent,AZE,Asia,Western Asia,female : 55-74 years
2187,Azerbaijan,1991,female,15-24 years,8,653100,1.22,1398,Generation X,AZE,Asia,Western Asia,female : 15-24 years
2188,Azerbaijan,1991,female,75+ years,1,99300,1.01,1398,G.I. Generation,AZE,Asia,Western Asia,female : 75+ years
2189,Azerbaijan,1991,female,25-34 years,6,697500,0.86,1398,Boomers,AZE,Asia,Western Asia,female : 25-34 years
2190,Azerbaijan,1991,female,05-14 years,1,734600,0.14,1398,Millenials,AZE,Asia,Western Asia,female : 05-14 years
2192,Azerbaijan,1992,male,35-54 years,39,610500,6.39,784,Boomers,AZE,Asia,Western Asia,male : 35-54 years
2193,Azerbaijan,1992,male,55-74 years,18,340500,5.29,784,Silent,AZE,Asia,Western Asia,male : 55-74 years
2194,Azerbaijan,1992,female,75+ years,5,97200,5.14,784,G.I. Generation,AZE,Asia,Western Asia,female : 75+ years
2195,Azerbaijan,1992,male,75+ years,2,40300,4.96,784,G.I. Generation,AZE,Asia,Western Asia,male : 75+ years
2196,Azerbaijan,1992,male,25-34 years,24,634300,3.78,784,Boomers,AZE,Asia,Western Asia,male : 25-34 years
2197,Azerbaijan,1992,male,15-24 years,23,683300,3.37,784,Generation X,AZE,Asia,Western Asia,male : 15-24 years
2198,Azerbaijan,1992,female,55-74 years,11,424500,2.59,784,Silent,AZE,Asia,Western Asia,female : 55-74 years
2199,Azerbaijan,1992,female,25-34 years,10,702900,1.42,784,Boomers,AZE,Asia,Western Asia,female : 25-34 years
2200,Azerbaijan,1992,female,15-24 years,8,643000,1.24,784,Generation X,AZE,Asia,Western Asia,female : 15-24 years
2201,Azerbaijan,1992,female,35-54 years,4,662800,0.6,784,Boomers,AZE,Asia,Western Asia,female : 35-54 years
2204,Azerbaijan,1993,male,75+ years,3,38900,7.71,617,G.I. Generation,AZE,Asia,Western Asia,male : 75+ years
2205,Azerbaijan,1993,male,55-74 years,17,356800,4.76,617,Silent,AZE,Asia,Western Asia,male : 55-74 years
2206,Azerbaijan,1993,female,75+ years,4,96100,4.16,617,G.I. Generation,AZE,Asia,Western Asia,female : 75+ years
2207,Azerbaijan,1993,male,15-24 years,22,677400,3.25,617,Generation X,AZE,Asia,Western Asia,male : 15-24 years
2208,Azerbaijan,1993,male,35-54 years,20,628400,3.18,617,Boomers,AZE,Asia,Western Asia,male : 35-54 years
2209,Azerbaijan,1993,male,25-34 years,20,636000,3.14,617,Boomers,AZE,Asia,Western Asia,male : 25-34 years
2210,Azerbaijan,1993,female,35-54 years,10,681600,1.47,617,Boomers,AZE,Asia,Western Asia,female : 35-54 years
2211,Azerbaijan,1993,female,55-74 years,6,443000,1.35,617,Silent,AZE,Asia,Western Asia,female : 55-74 years
2212,Azerbaijan,1993,female,25-34 years,9,697000,1.29,617,Boomers,AZE,Asia,Western Asia,female : 25-34 years
2213,Azerbaijan,1993,female,15-24 years,6,630200,0.95,617,Generation X,AZE,Asia,Western Asia,female : 15-24 years
2214,Azerbaijan,1993,female,05-14 years,1,759300,0.13,617,Millenials,AZE,Asia,Western Asia,female : 05-14 years
2215,Azerbaijan,1993,male,05-14 years,1,797900,0.13,617,Millenials,AZE,Asia,Western Asia,male : 05-14 years
2216,Azerbaijan,1994,male,55-74 years,10,369000,2.71,508,Silent,AZE,Asia,Western Asia,male : 55-74 years
2217,Azerbaijan,1994,male,75+ years,1,37400,2.67,508,G.I. Generation,AZE,Asia,Western Asia,male : 75+ years
2218,Azerbaijan,1994,male,35-54 years,11,651400,1.69,508,Boomers,AZE,Asia,Western Asia,male : 35-54 years
2219,Azerbaijan,1994,female,55-74 years,5,456200,1.1,508,Silent,AZE,Asia,Western Asia,female : 55-74 years
2220,Azerbaijan,1994,female,75+ years,1,95800,1.04,508,G.I. Generation,AZE,Asia,Western Asia,female : 75+ years
2221,Azerbaijan,1994,female,35-54 years,6,705400,0.85,508,Boomers,AZE,Asia,Western Asia,female : 35-54 years
2222,Azerbaijan,1994,female,25-34 years,4,686900,0.58,508,Boomers,AZE,Asia,Western Asia,female : 25-34 years
2223,Azerbaijan,1994,female,15-24 years,3,622200,0.48,508,Generation X,AZE,Asia,Western Asia,female : 15-24 years
2224,Azerbaijan,1994,male,25-34 years,3,638600,0.47,508,Boomers,AZE,Asia,Western Asia,male : 25-34 years
2225,Azerbaijan,1994,male,15-24 years,3,669100,0.45,508,Generation X,AZE,Asia,Western Asia,male : 15-24 years
2228,Azerbaijan,1995,male,75+ years,2,36600,5.46,462,G.I. Generation,AZE,Asia,Western Asia,male : 75+ years
2229,Azerbaijan,1995,male,35-54 years,18,677600,2.66,462,Boomers,AZE,Asia,Western Asia,male : 35-54 years
2230,Azerbaijan,1995,male,55-74 years,8,377400,2.12,462,Silent,AZE,Asia,Western Asia,male : 55-74 years
2231,Azerbaijan,1995,male,15-24 years,9,663600,1.36,462,Generation X,AZE,Asia,Western Asia,male : 15-24 years
2232,Azerbaijan,1995,female,75+ years,1,95000,1.05,462,G.I. Generation,AZE,Asia,Western Asia,female : 75+ years
2233,Azerbaijan,1995,male,25-34 years,5,642900,0.78,462,Generation X,AZE,Asia,Western Asia,male : 25-34 years
2234,Azerbaijan,1995,female,25-34 years,3,675100,0.44,462,Generation X,AZE,Asia,Western Asia,female : 25-34 years
2235,Azerbaijan,1995,female,35-54 years,3,733900,0.41,462,Boomers,AZE,Asia,Western Asia,female : 35-54 years
2240,Azerbaijan,1996,male,55-74 years,19,383100,4.96,476,Silent,AZE,Asia,Western Asia,male : 55-74 years
2241,Azerbaijan,1996,female,75+ years,3,94800,3.16,476,G.I. Generation,AZE,Asia,Western Asia,female : 75+ years
2242,Azerbaijan,1996,male,75+ years,1,36700,2.72,476,G.I. Generation,AZE,Asia,Western Asia,male : 75+ years
2243,Azerbaijan,1996,male,35-54 years,14,693800,2.02,476,Boomers,AZE,Asia,Western Asia,male : 35-54 years
2244,Azerbaijan,1996,male,25-34 years,13,647200,2.01,476,Generation X,AZE,Asia,Western Asia,male : 25-34 years
2245,Azerbaijan,1996,male,15-24 years,9,664700,1.35,476,Generation X,AZE,Asia,Western Asia,male : 15-24 years
2246,Azerbaijan,1996,female,15-24 years,3,624900,0.48,476,Generation X,AZE,Asia,Western Asia,female : 15-24 years
2247,Azerbaijan,1996,female,55-74 years,2,467600,0.43,476,Silent,AZE,Asia,Western Asia,female : 55-74 years
2248,Azerbaijan,1996,female,35-54 years,3,751300,0.4,476,Boomers,AZE,Asia,Western Asia,female : 35-54 years
2249,Azerbaijan,1996,female,25-34 years,2,669400,0.3,476,Generation X,AZE,Asia,Western Asia,female : 25-34 years
2252,Azerbaijan,1997,male,55-74 years,24,386200,6.21,590,Silent,AZE,Asia,Western Asia,male : 55-74 years
2253,Azerbaijan,1997,male,35-54 years,34,698800,4.87,590,Boomers,AZE,Asia,Western Asia,male : 35-54 years
2254,Azerbaijan,1997,male,25-34 years,21,651900,3.22,590,Generation X,AZE,Asia,Western Asia,male : 25-34 years
2255,Azerbaijan,1997,female,35-54 years,8,755500,1.06,590,Boomers,AZE,Asia,Western Asia,female : 35-54 years
2256,Azerbaijan,1997,male,15-24 years,7,669400,1.05,590,Generation X,AZE,Asia,Western Asia,male : 15-24 years
2257,Azerbaijan,1997,female,15-24 years,6,628600,0.95,590,Generation X,AZE,Asia,Western Asia,female : 15-24 years
